player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,rad_win
Sven,Earth Spirit,Tidehunter,Razor,Lion,Sniper,Earthshaker,Pugna,Doom,Kunkka,False
Abaddon,Beastmaster,Vengeful Spirit,Drow Ranger,Luna,Terrorblade,Morphling,Dragon Knight,Legion Commander,Underlord,False
Lina,Silencer,Keeper of the Light,Underlord,Spirit Breaker,Invoker,Phoenix,Sven,Necrophos,Troll Warlord,False
Spirit Breaker,Ember Spirit,Crystal Maiden,Queen of Pain,Kunkka,Chaos Knight,Drow Ranger,Jakiro,Legion Commander,Puck,True
Pugna,Bloodseeker,Mirana,Kunkka,Anti-Mage,Zeus,Luna,Shadow Fiend,Phantom Assassin,Shadow Shaman,False
Luna,Shadow Shaman,Mirana,Zeus,Necrophos,Pudge,Timbersaw,Arc Warden,Phantom Assassin,Ogre Magi,True
Lina,Nature's Prophet,Sven,Outworld Devourer,Monkey King,Mirana,Witch Doctor,Queen of Pain,Vengeful Spirit,Templar Assassin,True
Chaos Knight,Monkey King,Slark,Tiny,Alchemist,Meepo,Axe,Faceless Void,Doom,Lich,True
Earthshaker,Clockwerk,Monkey King,Dragon Knight,Nature's Prophet,Abaddon,Skywrath Mage,Kunkka,Broodmother,Batrider,False
Juggernaut,Nyx Assassin,Huskar,Meepo,Phantom Assassin,Necrophos,Windranger,Invoker,Alchemist,Ogre Magi,False
Shadow Fiend,Phantom Lancer,Venomancer,Bristleback,Ogre Magi,Pugna,Necrophos,Windranger,Phantom Assassin,Bloodseeker,False
Vengeful Spirit,Ursa,Anti-Mage,Sniper,Crystal Maiden,Disruptor,Legion Commander,Tiny,Phoenix,Alchemist,True
Slark,Luna,Axe,Treant Protector,Leshrac,Enigma,Underlord,Riki,Crystal Maiden,Terrorblade,False
Earthshaker,Sven,Lycan,Vengeful Spirit,Templar Assassin,Sniper,Axe,Invoker,Queen of Pain,Nature's Prophet,True
Windranger,Anti-Mage,Earthshaker,Pudge,Axe,Kunkka,Keeper of the Light,Morphling,Leshrac,Shadow Demon,False
Monkey King,Meepo,Faceless Void,Crystal Maiden,Oracle,Lone Druid,Tiny,Lich,Vengeful Spirit,Windranger,False
Zeus,Phantom Assassin,Wraith King,Sven,Spirit Breaker,Nyx Assassin,Axe,Death Prophet,Sniper,Chaos Knight,False
Anti-Mage,Slark,Tusk,Techies,Nyx Assassin,Phantom Assassin,Disruptor,Kunkka,Broodmother,Ember Spirit,False
Huskar,Nyx Assassin,Winter Wyvern,Lion,Tinker,Enigma,Tiny,Shadow Fiend,Monkey King,Faceless Void,True
Anti-Mage,Bounty Hunter,Broodmother,Magnus,Faceless Void,Earthshaker,Axe,Juggernaut,Necrophos,Spirit Breaker,False
Medusa,Treant Protector,Shadow Shaman,Legion Commander,Necrophos,Ursa,Monkey King,Brewmaster,Chaos Knight,Timbersaw,True
Viper,Elder Titan,Jakiro,Necrophos,Sven,Winter Wyvern,Naga Siren,Pudge,Riki,Monkey King,True
Tiny,Zeus,Medusa,Lycan,Phantom Lancer,Clockwerk,Keeper of the Light,Bane,Ember Spirit,Dragon Knight,True
Silencer,Skywrath Mage,Necrophos,Troll Warlord,Spirit Breaker,Mirana,Sven,Treant Protector,Anti-Mage,Vengeful Spirit,True
Riki,Spirit Breaker,Wraith King,Crystal Maiden,Clinkz,Witch Doctor,Tidehunter,Tinker,Slardar,Anti-Mage,True
Magnus,Ogre Magi,Invoker,Kunkka,Mirana,Pudge,Troll Warlord,Phantom Assassin,Juggernaut,Rubick,False
Night Stalker,Alchemist,Phantom Assassin,Shadow Fiend,Sven,Lion,Juggernaut,Zeus,Clinkz,Viper,True
Pudge,Lifestealer,Mirana,Bloodseeker,Sven,Sand King,Invoker,Viper,Rubick,Legion Commander,False
Slark,Anti-Mage,Razor,Centaur Warrunner,Viper,Chaos Knight,Lina,Ember Spirit,Luna,Lycan,True
Timbersaw,Queen of Pain,Underlord,Riki,Spirit Breaker,Legion Commander,Meepo,Bounty Hunter,Phantom Assassin,Sniper,False
Pudge,Anti-Mage,Monkey King,Slark,Skywrath Mage,Storm Spirit,Huskar,Rubick,Doom,Invoker,True
Clinkz,Morphling,Necrophos,Slardar,Doom,Mirana,Riki,Night Stalker,Invoker,Ursa,False
Jakiro,Phantom Assassin,Juggernaut,Bloodseeker,Outworld Devourer,Mirana,Witch Doctor,Necrophos,Dazzle,Faceless Void,True
Tusk,Pudge,Bounty Hunter,Alchemist,Death Prophet,Slark,Clockwerk,Weaver,Sven,Troll Warlord,False
Vengeful Spirit,Invoker,Shadow Shaman,Chaos Knight,Underlord,Morphling,Earthshaker,Silencer,Shadow Fiend,Pudge,True
Windranger,Pudge,Sniper,Drow Ranger,Nature's Prophet,Razor,Invoker,Bloodseeker,Legion Commander,Zeus,True
Pudge,Phantom Assassin,Phantom Lancer,Tiny,Io,Alchemist,Skywrath Mage,Huskar,Sniper,Crystal Maiden,True
Morphling,Kunkka,Shadow Shaman,Omniknight,Monkey King,Invoker,Lich,Sand King,Phantom Assassin,Jakiro,True
Lifestealer,Tiny,Pugna,Arc Warden,Anti-Mage,Crystal Maiden,Phantom Lancer,Queen of Pain,Clockwerk,Underlord,False
Beastmaster,Pugna,Elder Titan,Luna,Shadow Shaman,Lycan,Bane,Ogre Magi,Undying,Centaur Warrunner,True
Pudge,Treant Protector,Bloodseeker,Venomancer,Lifestealer,Bounty Hunter,Skywrath Mage,Anti-Mage,Tinker,Necrophos,False
Crystal Maiden,Troll Warlord,Necrophos,Centaur Warrunner,Bloodseeker,Sven,Witch Doctor,Earth Spirit,Arc Warden,Viper,True
Necrophos,Shadow Shaman,Earth Spirit,Legion Commander,Troll Warlord,Ursa,Sand King,Spirit Breaker,Lina,Rubick,False
Drow Ranger,Nature's Prophet,Slark,Elder Titan,Lion,Phantom Assassin,Sand King,Weaver,Bloodseeker,Viper,False
Pudge,Earthshaker,Bristleback,Omniknight,Lion,Riki,Huskar,Monkey King,Broodmother,Necrophos,False
Sand King,Templar Assassin,Terrorblade,Slardar,Tusk,Magnus,Juggernaut,Enigma,Crystal Maiden,Riki,True
Venomancer,Keeper of the Light,Axe,Bloodseeker,Night Stalker,Spectre,Lycan,Slark,Death Prophet,Lina,True
Tinker,Winter Wyvern,Broodmother,Sand King,Clinkz,Timbersaw,Sniper,Sven,Bloodseeker,Crystal Maiden,True
Faceless Void,Phantom Lancer,Lion,Crystal Maiden,Windranger,Ember Spirit,Sven,Dazzle,Nature's Prophet,Ancient Apparition,True
Juggernaut,Winter Wyvern,Faceless Void,Lich,Luna,Riki,Pudge,Razor,Chaos Knight,Tinker,False
Shadow Shaman,Juggernaut,Medusa,Rubick,Templar Assassin,Tiny,Drow Ranger,Underlord,Tinker,Ogre Magi,False
Nyx Assassin,Ursa,Viper,Bloodseeker,Tusk,Slark,Lion,Weaver,Troll Warlord,Centaur Warrunner,True
Sven,Tusk,Outworld Devourer,Monkey King,Ursa,Slardar,Legion Commander,Magnus,Witch Doctor,Skywrath Mage,False
Viper,Luna,Bounty Hunter,Zeus,Wraith King,Tinker,Dark Seer,Windranger,Death Prophet,Medusa,False
